model,sequence_length,hidden_size,num_layers,fc_size,train_loss,validation_loss,validation_accuracy,training_time_sec,inference_time_sec,parameters,model_size_MB
LSTM,20,128,1,,1.4396892276417617,1.4521803746808895,0.5566513504426762,78.81310486793518,0.22487258911132812,111873,0.4267616271972656
LSTM,20,128,1,128.0,1.3922605959797816,1.4160686020562516,0.5650834920990698,86.73454070091248,0.04590964317321777,128385,0.4897499084472656
LSTM,20,128,2,,1.3702023612335459,1.3910094186347308,0.5728252829765774,91.6216173171997,0.061007022857666016,243969,0.9306678771972656
LSTM,20,128,2,128.0,1.3570141021707587,1.398255547674237,0.5709021629496805,95.44875288009644,0.06290268898010254,260481,0.9936561584472656
LSTM,20,256,1,,1.3310037588856016,1.375943832915881,0.5785856774627367,101.78302240371704,0.06288886070251465,350593,1.3374061584472656
LSTM,20,256,1,128.0,1.3236869442226094,1.3708867204647535,0.578079121371736,100.68521022796631,0.06539607048034668,375169,1.4311561584472656
LSTM,20,256,2,,1.2870753090282274,1.3472362681154677,0.5835346856438418,128.16587376594543,0.09093260765075684,876929,3.3452186584472656
LSTM,20,256,2,128.0,1.3229444166863826,1.3646828508110342,0.5779849826291606,129.43796682357788,0.09613585472106934,901505,3.4389686584472656
LSTM,30,128,1,,1.4285723192657775,1.4449479089204567,0.5596553594563215,71.34175181388855,0.049321889877319336,111873,0.4267616271972656
LSTM,30,128,1,128.0,1.3867407791380097,1.4139975674420475,0.5672358375957646,77.22930026054382,0.05055403709411621,128385,0.4897499084472656
LSTM,30,128,2,,1.3589270583083484,1.389646136429005,0.5730635262896002,82.48756647109985,0.07011699676513672,243969,0.9306678771972656
LSTM,30,128,2,128.0,1.3490339559807818,1.3789529911895901,0.5766408305801239,87.73488998413086,0.0720524787902832,260481,0.9936561584472656
LSTM,30,256,1,,1.3178120172494865,1.3713025652979272,0.580034338534919,100.67519307136536,0.0797419548034668,350593,1.3374061584472656
LSTM,30,256,1,128.0,1.3053943977761302,1.3576416941429101,0.5832709471787263,106.43941688537598,0.08125567436218262,375169,1.4311561584472656
LSTM,30,256,2,,1.2788499823253021,1.3318116206481274,0.5895289882684144,147.6863570213318,0.11627912521362305,876929,3.3452186584472656
LSTM,30,256,2,128.0,1.3208388459675624,1.357640327613243,0.5831588762423063,153.11043620109558,0.11973214149475098,901505,3.4389686584472656
LSTM,50,128,1,,1.4186227925494794,1.442580443856638,0.5612254504211701,80.31260299682617,0.05745887756347656,111873,0.4267616271972656
LSTM,50,128,1,128.0,1.3782716416428513,1.4025074069484924,0.5686805427916922,85.76028347015381,0.05978536605834961,128385,0.4897499084472656
LSTM,50,128,2,,1.3460868204867817,1.3797931705510145,0.5772160183620315,98.60738635063171,0.08731532096862793,243969,0.9306678771972656
LSTM,50,128,2,128.0,1.3283797921785203,1.3600409365014925,0.5820979158914955,101.58144760131836,0.08896350860595703,260481,0.9936561584472656
LSTM,50,256,1,,1.3071833933858443,1.354793339283796,0.5826224172789586,138.18809032440186,0.11163687705993652,350593,1.3374061584472656
